TVDSS,GR,NPHI,RHOB,DT,VCL,PHIE,target
3951.1315,143.7897,0.15,2.5054,71.6985,0.2817,0.0714,0.0421
3951.2656,160.234,0.156,2.4928,72.3017,0.4757,0.0611,0.0954
3951.3998,157.6538,0.1545,2.465,73.0015,0.5342,0.0657,0.1487
3951.5339,133.2005,0.1464,2.4378,73.5309,0.3077,0.099,0.565
3951.668,114.2037,0.1376,2.4373,74.1141,0.1467,0.1104,1.5495
3951.8022,112.3656,0.1398,2.4697,74.7135,0.108,0.099,1.5284
3951.9363,132.4049,0.1512,2.5032,75.0212,0.1902,0.0783,0.886
3952.0705,150.3361,0.1654,2.5293,74.9491,0.3628,0.0573,0.2437
3952.2046,154.3106,0.1683,2.5222,74.4288,0.4331,0.0529,0.0287
3952.3387,161.4919,0.1639,2.4866,73.8926,0.4688,0.0649,0.0236
3952.4729,172.1011,0.1636,2.4559,73.2094,0.658,0.0639,0.0184
3952.607,159.9271,0.1629,2.4452,72.7262,0.5903,0.0734,0.0147
3952.7411,140.5013,0.1568,2.4366,72.5521,0.341,0.0976,0.0341
3952.8753,127.1751,0.1504,2.4253,73.0103,0.2169,0.107,0.0476
3953.0094,121.1353,0.1464,2.4072,73.9711,0.1728,0.1155,0.1412
3953.1435,116.0919,0.1436,2.3818,75.1731,0.1481,0.1259,10.7882
3953.2777,110.398,0.1376,2.3382,76.4419,0.1211,0.1441,21.8349
3953.4118,105.9826,0.1285,2.2961,77.9324,0.1005,0.1646,85.6681
3953.5459,101.2143,0.1194,2.268,78.8138,0.0833,0.1802,168.1626
3953.6801,97.69,0.1128,2.2527,78.9067,0.0687,0.1893,256.3336
3584.7035,53.6913,0.13,2.2845,75.1008,0,0.1975,500.2851
3584.8534,54.6796,0.1346,2.2922,75.1798,0,0.1962,451.2404
3585.0032,55.2848,0.1367,2.2983,75.268,0,0.1946,400.995
3585.153,55.1344,0.1341,2.3011,75.3745,0,0.1925,326.5841
3585.3029,54.984,0.1315,2.304,75.481,0,0.1905,252.1733
3585.4527,54.828,0.1289,2.3069,75.5882,0,0.1884,212.6198
3585.6025,52.8989,0.13,2.3067,75.9202,0,0.1889,187.0286
3585.7524,50.9698,0.1312,2.3066,76.2523,0,0.1894,318.8444
3585.9022,49.0408,0.1323,2.3064,76.5843,0,0.1898,414.7141
3586.052,49.0952,0.1306,2.3067,76.2949,0,0.1891,363.675
3586.2019,50.1274,0.1275,2.3073,75.6993,0,0.1878,286.167
3586.3517,51.1596,0.1245,2.3078,75.1037,0,0.1865,230.8124
3586.5016,52.1139,0.1228,2.3131,74.809,0,0.1839,202.8278
3586.6514,52.9144,0.1242,2.3281,75.1078,0,0.1787,171.5691
3586.8012,53.715,0.1255,2.3431,75.4066,0,0.1736,210.0372
3586.9511,54.5254,0.1268,2.3582,75.7058,0.0005,0.1684,176.6324
3587.1009,58.4494,0.1417,2.4048,76.1181,0.1852,0.1178,54.1002
3587.2507,62.3734,0.1566,2.4514,76.5304,0.3699,0.0673,8.5895
3587.4006,66.2974,0.1715,2.4979,76.9428,0.5546,0.0168,5.0402
3587.5504,68.3288,0.1779,2.4997,76.6025,0.5893,0.0001,1.4909
3587.7002,69.4273,0.1802,2.4793,75.8912,0.5498,0.0001,0.8131
3587.8501,70.5258,0.1825,2.4589,75.1799,0.5103,0.0001,5.2795
3587.9999,71.5919,0.1831,2.4443,74.5993,0.4769,0.0034,6.4923
